subject,snippet,label
Tu pedido #39201 fue enviado,Tu pedido ya está en camino. El tiempo estimado de entrega es de 3 a 5 días hábiles. Podés rastrearlo con el código adjunto.,no laboral
50% OFF en toda la ropa de invierno 🧥,Solo por este fin de semana: 50% de descuento en toda la colección de invierno. Entrá ahora y aprovechá antes de que se agote.,no laboral
Nueva temporada de Stranger Things disponible,La temporada 5 de Stranger Things ya está disponible en Netflix. ¡Maratonéala este fin de semana!,no laboral
Turno médico - Recordatorio,Te recordamos que mañana a las 8:30am tenés turno con el Dr. García en Av. Corrientes 1234. Por favor llegá 10 minutos antes.,no laboral
Tu vuelo AR1142 está confirmado,Tu reserva para el vuelo Buenos Aires - Bariloche del 20 de julio está confirmada. Check-in disponible 48hs antes.,no laboral
Invitación: Cumpleaños de Martina 🎉,El sábado 19 festejamos el cumple de Martina en su casa. Desde las 21hs. Avisame si podés venir para coordinar el regalo grupal.,no laboral
Resumen de gastos - Junio 2024,Tus gastos del mes de junio: Supermercado $28.400 - Restaurantes $9.200 - Transporte $3.100. Total: $40.700,no laboral
Tu suscripción a Spotify se renueva en 3 días,Tu plan Premium se renovará automáticamente el 15 de julio por $2.099. Si querés cancelar hacelo antes de esa fecha.,no laboral
Alerta de seguridad - Nuevo acceso a tu cuenta,Detectamos un nuevo inicio de sesión en tu cuenta de Google desde un dispositivo en Rosario. ¿Fuiste vos?,no laboral
¿Venís a cenar el domingo?,Hola amor! Te pregunto si el domingo podés venir a cenar a casa de mamá. Va a hacer lasagna. Avisame así ella calcula las porciones.,no laboral
Resultados de tu Fantasy Liga Profesional,Jornada 24: tu equipo Los Guerreros sumó 87 puntos y subió al 3er puesto. ¡Seguís en carrera para la final!,no laboral
Promo exclusiva: 2x1 en Cines Hoyts,Este martes 2x1 en todas las funciones con tu tarjeta bancaria. Comprá tus entradas online y elegí los mejores asientos.,no laboral
Tu reserva en Lo de Carlitos fue confirmada,Confirmamos tu reserva para 4 personas el sábado 20 a las 21hs. Si necesitás cancelar avisanos con 2hs de anticipación.,no laboral
Receta de la semana: Risotto de hongos 🍄,Esta semana te traemos una receta clásica italiana fácil de preparar. Ingredientes y paso a paso en el link.,no laboral
Nuevo mensaje en el grupo Amigos del Cole,Guille: ¿Jugamos el fútbol este sábado o lo pasamos para el siguiente? Respondan en el grupo para coordinar.,no laboral
Tu recarga de $500 fue acreditada,La recarga de $500 en tu línea fue procesada exitosamente. Ya podés usarla para llamadas y datos.,no laboral
Alerta meteorológica: lluvias para el jueves,Se esperan lluvias intensas para el jueves en el AMBA. Temperatura máxima 12°C. Recomendamos llevar paraguas y ropa de abrigo.,no laboral
Nueva función en la app de delivery,Ahora podés programar tus pedidos con hasta 3 días de anticipación. ¡Ideal para organizar tus comidas de la semana!,no laboral
Cuota del gimnasio - Vencimiento 15/7,Tu cuota del mes de julio vence el próximo lunes 15. Podés abonarla en recepción o por transferencia bancaria.,no laboral
Tu reserva en Hotel Arrayán - Bariloche,Reserva confirmada: Hotel Arrayán del 20 al 25 de julio. Habitación doble con desayuno incluido. Check-in desde las 14hs.,no laboral
Nuevo episodio de Pensándolo Bien,El nuevo episodio del podcast ya está disponible. Esta semana hablamos de hábitos y productividad personal. Duración: 52 minutos.,no laboral
Sorteo solidario - Participá y ganás,Participá del sorteo y contribuís con el merendero del barrio. Cada número vale $500. Primer premio: TV 55 pulgadas.,no laboral
Tu libro está disponible en la biblioteca,El libro que reservaste ya está disponible para retirar en la Biblioteca Municipal. Tenés 3 días hábiles para buscarlo.,no laboral
Resumen semanal - Fitbit,Esta semana caminaste 47.230 pasos. Tu promedio diario fue de 6.747 pasos. ¡Estás cerca de tu meta de 8.000 diarios!,no laboral
Inscripción confirmada - Torneo de Pádel,Tu inscripción al Torneo Abierto de Pádel del Club Náutico fue confirmada. Primera fecha: sábado 27 a las 10am.,no laboral
Descuentos en ferretería El Tornillo,Solo este sábado: 30% de descuento en pinturas y herramientas eléctricas. Presentando este mail en caja.,no laboral
Nuevo comentario en tu foto,Lucía Gómez comentó tu foto: ¡Qué lindo lugar! ¿Dónde fue eso? Respondé desde la app de Instagram.,no laboral
Notificación de pago recibido - MercadoPago,Recibiste un pago de $3.500 de parte de Rodrigo Fernández con el mensaje Mi parte de la cena del viernes.,no laboral
Resumen de actividad - Duolingo,Llevas 14 días consecutivos aprendiendo italiano. ¡No rompas tu racha! Tu lección de hoy te espera.,no laboral
Tienes un nuevo seguidor en Twitter/X,Una cuenta comenzó a seguirte. Revisá tu perfil y decidí si querés seguirla de vuelta.,no laboral
Confirmación de transferencia bancaria,Transferiste $15.000 a la cuenta indicada. La acreditación puede demorar hasta 24hs hábiles.,no laboral
Recordatorio de Google Calendar: Cena familiar,Cena en lo de mis padres · Hoy a las 20:00 · Casa de mamá - Av. San Martín 456,no laboral
Tu plan de datos está por agotarse,Consumiste el 90% de tus datos del mes. Te quedan aproximadamente 800MB. Podés comprar un paquete adicional.,no laboral
MercadoLibre: Tu compra fue entregada,Tu compra Auriculares Bluetooth fue entregada exitosamente. ¿Querés calificar la experiencia de compra?,no laboral
Nuevo lanzamiento: colección primavera-verano,Descubrí los últimos estilos de la temporada. Envío gratis en compras superiores a $10.000. Solo por esta semana.,no laboral
Newsletter de LinkedIn: Tendencias de la semana,Estas son las publicaciones más populares en tu red esta semana. Tecnología IA y mercado laboral lideran el feed.,no laboral
Invitación a conectar en LinkedIn - María Díaz,María Díaz Directora de RR.HH. en Consultora Omega quiere conectarse con vos. Tienen 8 contactos en común.,no laboral
Notificación de Slack - Canal general,Tenés 5 mensajes sin leer en el workspace de tu startup personal. Abrí la app para ponerte al día.,no laboral
Resumen de inversiones - Agosto,Tus inversiones este mes: FCI Renta Fija +2.3% - Acciones -1.1% - Cripto +8.7%. Revisá el detalle en la app.,no laboral
